trucks_count 6
drones_count 4
customers 98
depot 0.0 0.0
Coordinate X         Coordinate Y         Dronable Demand
9367.868512575264    -0.36547913674221233 1         0.2944785632907331
9155.304654671967    4944.487221318352    1         29.928141391353623
-6882.123368003475   -5815.237947044037   1         1.0217617347465915
3787.817399913119    3448.9701684450283   1         0.41746136240090337
-9906.692414284731   976.2115755187392    1         0.2292427103504184
996.6099094735415    -7009.527763072011   1         0.23524636049648004
8746.822272309983    -4366.881974890786   1         1.1366820556239445
10790.91253541065    7132.917903425088    1         1.0974833471428203
-10700.801394152815  -1891.8080833018937  1         30.23908421504232
-7917.232374078475   7028.655491620017    1         1.2456364744401545
-5434.460409043236   10631.882878927503   1         3.1200993343923074
9307.37801159389     3845.789506078825    1         7.3027370601042545
-11961.174229281367  -3816.8399234233275  1         18.80064769471686
-7989.654874580012   6630.3059446207335   1         0.8263014197285922
-2385.8431292353125  2436.7588145995664   1         0.3044821608959569
10066.652271989213   -11302.126023577432  1         1.0827566367677681
6216.572705187878    1060.2996766533804   1         30.45368533571597
1850.5691285644004   -4377.680746813087   1         0.5942018710998559
3185.379283599439    -3224.492340836193   1         1.1013907531799358
-113.53802134994687  -3063.427998954545   1         0.27877673441755413
6557.636244443611    6587.755862925387    1         0.18480668082439783
-83.00460640341683   409.4361254323668    1         0.7397008983142846
-3017.3883053720356  -2069.540278430063   1         41.26822486506154
2572.782919922957    9071.201372914391    1         0.8369884120115431
1632.451358039681    -4304.685672838307   1         0.42267557693123203
-11602.368900558804  -1035.9786792047835  1         44.55294765366415
2691.758299804047    -4285.920014019333   1         0.34654494382092466
9322.623252440364    -4083.7534304985693  1         0.36695195791344803
3116.1181431823325   -8539.698814926865   1         1.1922397536209064
211.86567855799996   -6522.517100463338   1         0.9280303469841432
-8446.578992022598   2930.1426753132605   1         0.509495039555351
-1222.6398185177989  -10493.89999230452   1         35.543557040577085
6809.32198688031     -1719.3482551833397  1         0.6957444033632864
-4838.192556124964   -674.6522580428929   1         0.696747212710003
-4771.451787631022   395.03169284438525   1         35.50520977882507
4204.796417601886    -1267.8426701660735  1         0.12404793354549788
-1113.7926541198551  7174.584151551846    1         0.9454844646898055
9231.426730843188    5020.020727060182    1         0.4849397658636041
9946.99449420601     9859.719882654947    1         37.04812310401233
641.4479967206028    9363.56871022947     1         0.5548929238388749
-5847.918993296098   -4797.761812861101   1         0.3236421300400919
-8734.06142054583    -2716.0646228396145  1         0.7119961886020137
-9577.132992680561   85.76035924749775    1         0.15102020023364973
3418.9898732385736   -1095.6737417929185  1         0.9656542379966823
-601.8106327438182   -8269.209477788594   1         1.9223880121567385
-5450.651235914406   1029.7502688344887   1         0.974099015577103
1556.4487290925438   -9207.727067069913   1         0.44168860167962143
-1180.6039784508848  4061.5225131787083   1         0.7074562053514558
-518.6218259492952   -7912.368743003633   1         0.19191184379042753
-81.6655467689927    -591.7606623164241   1         0.7870080316596081
-6810.540516928905   23.255639168411644   1         0.7197288201764218
-3086.9728484649963  6058.137555720215    1         0.9385606509486083
4077.970697268339    -3185.964324920142   1         0.3768914869091855
4804.118447286652    -8733.30975952033    1         8.81612689849668
-7508.9883378431105  -1575.4472677987208  1         0.21001833110971302
-1504.272011093918   5841.337276890302    1         1.00230847549667
