trucks_count 3
drones_count 5
customers 77
depot 0.0 0.0
Coordinate X         Coordinate Y         Dronable Demand
-8182.810823118589   -1997.9763701744698  1         1.068501732427119
-2496.3900586006566  1477.63862952592     1         0.12853020213850563
4690.377201389625    -5724.840729580945   1         0.3506025481530658
-508.1571605232276   -8664.71287162593    1         0.13691649547080958
-2534.5981588192362  -8841.494978204377   1         0.8270472776910851
10593.047108876723   2584.963422379743    1         24.84435560213226
6759.505574465309    -3155.3851476286677  1         22.972526273067864
2543.8148041900654   2801.777277433355    1         29.309393913751606
1733.114007810671    6668.752703262067    1         27.789520225584653
5088.644598459339    7522.397282637171    1         1.1705067331094778
-36.69752057635667   -3105.4221658185734  1         13.194466528100142
-1941.9857509152207  9179.172227692063    1         1.2376452467905152
-7998.8957241311855  -6286.724414518169   1         1.1980576426585692
9269.440964943322    4015.8809459667905   1         0.4796036581089008
-858.7705598275033   7771.253154593823    1         0.9475750607162203
-1654.8756538093244  9145.45478151123     1         0.13296571903430288
-8132.642008830901   -6381.948647691513   1         0.2016660016201095
-2613.7187659917163  2040.6390906466088   1         1.072408321314027
9525.977149942457    -2045.2517826377152  1         0.40897804639817414
9145.842591434575    -11304.725817003582  1         1.1592706075193473
6471.353470216813    -7678.020594231349   1         0.6832185957869685
-6803.310559216663   2328.69541638295     1         0.9470612103972968
-477.9711850233831   -7498.399611466486   1         0.7944703837109464
7290.104158187278    2923.0491313726834   1         1.0827513822403563
5194.431511350852    -6631.544040406296   1         48.41864180730126
7823.711685032046    -1362.0483258299107  1         0.5831907608269317
621.531558526232     -10164.557693755027  1         1.0477714959384286
10601.171403112661   -5025.209931017386   1         1.2056867816815005
4819.873151980041    3259.5788730045115   1         0.6623448320676105
5637.270827079258    3448.954597228751    1         26.984134555184713
-9495.600992197773   5142.904118366961    1         3.996336160700529
-390.1757972796794   -4070.505918585697   1         1.1290469109248562
2199.368310260415    -1026.609196959184   1         0.31337734939585293
-2279.231406642466   610.8644860419112    1         0.6270762758522146
4628.371634449837    -5582.967462495792   1         0.2842191395376491
-577.5032091713474   7791.702922485976    1         1.1899218743871365
3171.457832046537    2523.6432242882456   1         0.41099381464919094
-1781.485602529703   10452.101947654075   1         0.7247100451692919
-975.1912577920443   -7059.408771975693   1         1.218158104882004
-2610.5030509414105  -477.9487688275927   1         0.67663141389616
-5486.82976394104    -1690.2998569349404  1         40.3735922249348
1113.907774694435    10760.509710667702   1         1.060954117677238
-1557.9051605659274  4247.581111180018    1         0.23725798817880867
-10594.650742196682  1795.366988724984    1         0.47226464746774843
1944.4169587619635   7591.128158771731    1         0.9753400195674552
8651.131207374925    5115.376812786464    1         1.198366037205137
-128.4279646633056   7391.442200115384    1         0.2190525585957208
-100.67432665505112  -9033.4816737971     1         0.8997950221757814
5948.665010958259    -818.1871371802283   1         0.44502714277265165
-5728.952031585781   -2016.673303137289   1         0.8123473919817448
-7858.3739319367305  -6317.924640309787   1         18.79015405448149
-3695.129070475323   9262.899730932653    1         48.44831062052302
1893.899222202165    6436.466917388074    1         0.5583782231041958
2150.806735469665    8849.275871983502    1         0.29546048200974917
8025.2304509207015   -5783.639211183503   1         1.1151114089895169
1531.8432348326826   4144.129366372427    1         0.10440640929642521
3414.736036462664    5818.13030171877     1         0.6212421006640614
-3636.330817276964   -981.8043805189253   1         1.1945973667164826
9401.16287729858     2009.1197739816046   1         0.6451840559630315
-1342.2821389387045  5711.999853635465    1         0.8154458881571296
4886.901095554262    -6553.416010414157   1         1.1528937625956155
-3912.2933433900916  9376.322787674006    1         0.32472548528720413
1050.4759143939527   8463.905175780263    1         19.13165636456685
4108.576241016518    8762.251737758594    1         0.10408114389069227
-8022.932085273735   -4152.9513477005785  1         0.6276529572994172
3316.013949527471    1108.8794997481734   1         0.6091976257249822
2524.9393940290447   5140.72523135871     1         0.4661404654084964
-1789.4489692552816  -10790.812245341573  1         0.18367251210104663
-10902.067812172954  9621.347704891756    1         28.761426441153098
-3472.684397196427   4698.336049369299    1         0.6496377523715624
9215.809626851698    2701.2089782530834   1         0.8745085931694752
-2931.622231201043   4956.327437264136    1         0.43085202194424554
-6937.856364552293   -5987.5374852251425  1         0.29926637913903575
7292.126357808156    1328.1919250767683   1         0.4143961854535262
8447.70829470931     -3338.115135128744   1         0.10559070466371144
-155.64061612111655  -9956.884801068732   1         44.590050460701725
4168.451110614866    3411.5897305899707   1         0.5859008465834986
