trucks_count 6
drones_count 6
customers 85
depot 0.0 0.0
Coordinate X         Coordinate Y         Dronable Demand
0.028581940587345783 -1279.1771941681902  1         0.5172548423978547
-4788.133393934032   -4284.775501517658   1         13.10802770933512
-7587.488794496919   4764.011481347637    1         0.6442393806838198
-9122.845094534625   4453.564827547498    1         48.89132426310635
-1977.307993858761   1759.8827361864394   1         1.2031804776241428
216.5830753551633    1846.1813774134055   1         39.8287547107161
-7623.627096256604   3473.0153010675735   1         0.1639706128306903
-9058.390167794125   -381.9458198148367   1         30.580507338264752
2816.4891965976876   -2823.3341920326816  1         0.8751942277632366
-6541.213735635842   7205.99531372081     1         0.410765677301258
-2310.786932590934   2042.724657019068    1         0.5671681966241079
-3918.9129353069548  -7930.903021178419   1         0.1050050353364711
-3571.115548034568   -5882.370241982587   1         10.276637449201205
-216.37119152625047  -7055.527671653891   1         0.2861833414356729
225.36502384900996   -10728.420509930647  1         0.3814213500014443
-2087.931866428813   7023.8753226882545   1         0.21803122796815977
-10544.27849048552   8878.666670076112    1         0.20465855424518448
-10354.349272062564  3099.2011617667267   1         1.1268341820858372
3587.5019490501713   -1438.243836008064   1         0.38747083713307895
-234.3960571396947   9877.490226733746    1         1.031524897093408
-9044.281453294338   4481.564520238266    1         0.44825187247201936
-641.5472555237998   10686.262785874082   1         10.526646330703798
7676.03234426929     5418.012964521276    1         3.3049964519904793
-4915.20019891937    2657.8081901371356   1         0.4973439276587529
-6371.960475717662   690.6679933558262    1         0.525872097995812
4485.353984806978    -931.5355296315118   1         8.126746905666856
4808.66210055943     6160.576099124937    1         0.9829925294619792
1601.3038527590752   -8095.751719879201   1         0.9677689716857081
9747.95151553764     1143.9341295334189   1         0.20063822949568105
2581.8273441610154   -4489.324174501124   1         31.53799081005678
-9224.789805491193   -3326.0955429217875  1         36.66591230824458
6974.138974764434    3987.3455748737756   1         0.6269819120468515
1775.7444944099652   -7559.9908815263025  1         0.8587698200564902
-2900.0813788897813  -8718.370407305993   1         32.649626750515196
3949.257070836838    -1042.2745280177865  1         0.5860328044403504
3679.9460719501203   -5560.218367988829   1         0.2522320827276105
305.88168154895004   9512.005222283413    1         1.0679204078798452
-8364.026470646644   -1868.0084703512912  1         10.506974331018538
3335.3301654580237   -10363.560102411868  1         0.3734606355343515
-10197.196409096625  2790.2315556910644   1         40.94277442899101
1568.5044393034175   1764.497469264919    1         13.451211263454065
-9525.321544432709   -2695.20457254702    1         1.196124044726805
-594.6070093723681   -2445.5530540202067  1         0.9873546520912209
-1415.7388642892947  -7221.378584874823   1         0.5511069988088589
-3547.4849273915615  6234.943736782801    1         0.5115222476933056
2253.5902807199245   -7337.739667145132   1         0.5916800891404254
3269.2371651313792   9966.481890006897    1         0.10584779833224237
-10321.534862001728  -6488.304655819578   1         1.2013323391765496
-8021.105947823496   1228.3142416763985   1         0.49032615159261705
-8254.084820121607   6576.908313830944    1         0.7324067550786721
-97.97137042396368   -3143.225280568582   1         3.4486215572228107
-657.7439025304126   4425.183648787727    1         30.75351272618019
-3455.9959932951483  7052.326136809895    1         27.3615317280137
7435.552632419069    5449.430150580212    1         1.1564661926396282
-8206.620518942178   121.3494568021987    1         1.0221044808576996
5061.141521978948    -8473.906248300817   1         0.9418975735581605
3366.309357024216    -8617.205963253062   1         8.065460542022173
-7631.698244663317   6389.138794372046    1         0.2431789930891672
3352.6111015970187   300.6397531361645    1         0.28168205569251326
2462.9238997850703   -8556.261291640838   1         0.4119336183096972
4330.705139557119    7617.1722913695985   1         10.37567506721651
1465.4659387660774   9106.145323103709    1         0.1888695497025754
3034.9747973990115   -7976.539919325976   1         43.59217550670122
-6596.029875988794   -2960.901854091461   1         0.47611589538121646
8751.242038782719    2103.652779619448    1         10.835402890592903
-9193.722822580843   4671.216774805112    1         1.0802620827978706
-915.9478026238015   5659.938995355512    1         12.132601825593316
3457.6135533099023   -10098.067754229489  1         0.24433808726901865
-3534.203165323073   -583.9239647683314   1         0.8082223832498
8074.911420930584    -4775.289391905438   1         41.92952111651585
-432.39393463690294  5836.143850162912    1         1.197961025645101
-5924.326131935129   -9122.090475355171   1         1.0937949792303285
1188.0864519679208   -2013.997361339317   1         1.2093659350213173
4035.338480969333    -1822.0703182277857  1         0.1826618378458128
-6085.241193566452   -7092.3500463833925  1         16.884876926115354
3522.559458244952    -8244.08779807162    1         1.1730117767856016
-446.8786868071272   3366.020655681347    1         0.7625870188942768
-545.850367997289    -4453.495344371979   1         1.1603863447552225
5529.168489217731    -8770.491440656331   1         1.0288807845162278
-243.38375307640126  5979.0977936611625   1         0.40231802622750956
-7567.527107356721   -4938.607735671188   1         0.7332405768402875
-2869.5996507399846  -4827.3911270832095  1         0.6702823795007173
4268.368601891017    3146.959863761156    1         10.427982348350731
7940.182188068079    6436.175680140838    1         0.9011658578034027
-4232.630649184857   -9042.89685610792    1         0.5186960427896593
