trucks_count 6
drones_count 6
customers 86
depot 0.0 0.0
Coordinate X         Coordinate Y         Dronable Demand
-0.44746420779040125 7881.476958156466    1         1.0268647242243387
-2763.158099216317   617.8811869430773    1         0.8251674172219977
4014.245699413305    -9484.919454764624   1         0.26697817184030614
5486.268055512542    928.0793957220878    1         9.527706088893494
8574.315703813341    -4837.754098522893   1         0.8104175186177947
-8210.769021999733   1297.9316242436782   1         0.3005925095149555
-7468.086121382872   -6722.510294601263   1         0.44463171187631145
-187.11658628053553  8117.099675894081    1         0.1015720900946005
10953.495031127497   -6310.638756363713   1         35.77544074030466
-5044.6041504728155  7046.363689351484    1         1.246919554391189
-7030.556765816505   1248.2259554366299   1         1.1691583547000188
9478.332826485603    2639.7465568431126   1         0.10462295100018691
-792.0561600727348   7265.110081472804    1         0.7618848726444888
-11043.0264221472    -14516.85093569437   1         35.044655525374864
-1629.723982516389   -6258.855675255006   1         1.0833001640123372
-9353.688819548073   -1995.5049915863763  1         1.1484082611421231
9254.261185828063    2861.629687061961    1         0.7557822345500651
-13286.689935510072  3950.1777376873815   1         33.00137160556598
-626.2967467786029   3398.0816853940546   1         17.259075907916852
13531.17221636086    -10430.025281390152  1         0.990078967777511
-1759.7024277568323  10440.272062024522   1         0.5579951490269864
3852.226893047164    7304.370583857103    1         38.56964678393658
829.9206842881783    -1973.9273564639877  1         5.139178767218641
-9204.356500497677   -515.3332715259168   1         0.48422755299331544
-2862.2021111128965  -778.0895944430265   1         26.384268253371168
-2013.0044485015103  -7577.995258897687   1         1.1341818804523922
-8743.508197542695   -2817.586394252316   1         25.09619021438932
-10129.023999631518  -1193.391065338794   1         1.0456347231960703
-1642.957742948311   -949.9356894298262   1         0.26785267742372665
3053.5952700087223   -9138.81635336422    1         13.438100103658197
-4670.882157484495   -2217.775442723132   1         0.5435392005532497
3678.9038720000226   -3647.390384025862   1         0.4976864534676414
-1885.7398140836985  -3826.3699746725556  1         1.150181543595005
7188.093324428897    1078.8220996232021   1         0.6519104103382001
-11204.450257987573  -9768.834543874706   1         0.9413608218009968
-5270.794056438934   -1848.5348300944115  1         0.17943679447077077
-6755.1906096191115  -5758.46309662517    1         0.5496832931590923
-1619.9500677981348  2186.0851274741663   1         18.042028441307824
5.3690740840825795   -8801.204538322752   1         0.6784001648572442
9238.158776752894    1469.0771958056494   1         37.066581600375194
-8011.925443291266   3502.75781125268     1         22.418042247202795
8312.427675494731    5989.813475091755    1         0.2906059094210028
208.79204702010952   1650.1043205313963   1         0.8379368818922953
2412.944627445672    9073.04810299193     1         1.1445271583175483
6730.188374275435    6970.717247468086    1         0.8026820243590651
-3892.8316027176006  -5244.3378786851135  1         0.6956592284106465
7641.739903730505    -2928.222694720606   1         0.869243429562716
-1597.6215290055686  8219.17743451245     1         0.8570132359020752
20.079459959419793   -568.1188427885822   1         0.46926064065050843
-5768.004329519204   5702.282607535745    1         0.8844828048283578
-3450.718560111963   8699.453498583978    1         24.901195120943225
5243.887263979572    -1839.5470960777122  1         0.53254398455039
11056.691599413383   -4168.985806161816   1         0.3903119638966166
8929.054131044224    -2762.733831289744   1         1.0641082850761836
-2634.8301600806394  -4723.477268215107   1         0.6585802060080969
681.0253593016997    -10618.279008786443  1         34.17948936403958
-7964.437773684124   -5187.145573550537   1         0.20431065109353502
-320.6497317467783   -1634.4169199515036  1         0.8346573002047277
5491.256224424359    -6414.863260477214   1         0.307938286448397
307.5317294006636    4407.992573868158    1         12.453707843592966
1514.2496373679296   -13737.346241065088  1         13.144489773840398
-9285.450749785372   5790.403638842663    1         0.1513639085739561
1429.7117104961965   -5796.681234515993   1         16.68863636710607
-7832.441821128782   3682.5425681887177   1         0.9208408322379921
-6316.467810684969   -3141.1338069603057  1         0.8046498543100795
7825.547016342941    5661.7009969889505   1         0.17035035300132967
6628.118641875453    -15194.027014233663  1         0.3571932099135239
10890.135943445335   3122.898868799408    1         6.722155277278507
447.98886117222486   424.75351002924054   1         0.3239648798146081
4383.680079361239    455.9817461338613    1         1.2269394055152774
-1304.9219109851645  7681.52948979562     1         0.451597002270295
3336.9201359872727   2249.2674577769735   1         0.136931074497913
-7042.429194257886   -1122.5743079772637  1         0.13247576255290447
11413.809879210849   3004.2550471493287   1         0.31054081075944306
-13890.57556472033   6201.387558099332    1         0.6754314833382558
-7826.858339706863   6639.78180383007     1         0.37171559168365
6707.293413231981    6460.414577199742    1         42.407509435781144
-5640.024525538466   -5871.748515411908   1         0.8245459652831363
-1739.9462227127135  -7624.707182807602   1         0.23860695330918902
8756.872723479168    -2094.2306461723583  1         1.169611766940057
5886.5587298654145   8700.674356000114    1         0.20807453233578055
-2761.0208418488164  -2464.5106669337456  1         0.7049744620568822
7256.868858143485    -933.8694214790072   1         0.8897655407211801
-5240.811543728072   -3114.1831308462156  1         0.7103066432215343
-8676.044767900454   -11583.648523343809  1         0.22508526741878657
-680.8987205063133   3004.640037487425    1         1.1093604379591975
